,gene_id,AE0,AE1,PCA0,PCA1,UMAP0,UMAP1,tSNE0,tSNE1
51,ABCB5,-1.187810898,17.883758544921875,-5.004393208,0.042661782210584594,-0.97407883,0.81029403,66.17079,-15.510361
52,ABCB6,-1.049400091,-7.221999168,1.5955558814359578,0.9611178716819387,9.382756,10.102308,-70.99172,-15.61819
53,ABCB7,-1.987655401,-6.631943703,1.8442094946302663,0.15257483987764617,9.833612,9.262459,-53.57731,-30.161108
54,ABCB8,-2.474931955,-5.730325222,1.6596107690899786,-0.176548436,8.603553,8.985861,-39.333565,-7.51581
55,ABCB9,1.1072418689727783,-4.052862644,-1.027583336,0.2864943076270582,3.1714873,10.213036,-27.294727,62.850163
56,ABCC1,-3.979076624,-9.964568138,5.544639403911882,0.868718008,12.154633,2.045702,30.973848,-71.04476
57,ABCC10,-3.19612813,-6.075452328,2.3782520908377194,-0.070668798,9.790264,8.064564,-34.481136,-22.289614
58,ABCC11,4.754693508148193,6.100482464,-3.955638786,0.195849855,-0.3536854,4.103136,37.92611,22.213121
59,ABCC13,-2.662686348,14.71129322052002,-4.936343169,-0.332625026,-1.6090006,1.3324074,76.66125,-2.378398
60,ABCC2,2.0954082012176514,-2.124952316,-1.808079986,0.2984156883063138,1.7680775,9.284163,-2.6955414,52.69464
61,ABCC3,-6.261791706,-5.581515312,4.3580803570011115,-1.458980845,10.998267,4.3523765,4.692638,-31.964672
62,ABCC4,-3.689734221,-6.529100418,3.0425519531458463,-0.330014336,10.866833,6.4486794,-18.534443,-40.835747
63,ABCC5,-2.855671644,-9.496328354,4.256785539861965,1.3818876793941617,12.7506895,3.7502768,26.910017,-71.95353
64,ABCC6,-6.356209755,-0.101905324,0.19133676429533558,-1.913790267,6.2755547,8.973968,-26.548199,11.055526
65,ABCC6P1,-0.863239586,3.6371424198150635,-3.216737958,-0.967988362,0.25916058,6.3103943,31.462954,56.48621
66,ABCC6P2,0.8443263173103333,6.411789894104004,-3.911274369,-0.544519876,-0.69392973,4.472064,42.18548,29.584019
